competition,year,phase,date,away_team,home_team,away_score,home_score,venue,notes,away_coach,home_coach,is_double_header,date_precision,date_display,time,status,confidence_level,is_playoff,is_title_game,final_type,title_name,playoff_round,parent_phase
,2024,Division 1 Southern,2024-12-01,Brunel Burners,Brighton Panthers,11,8,Falmer Campus,,,Georgia Teague,FALSE,day,,13:30,completed,high,FALSE,FALSE,,,,
,2024,Division 1 Southern,2024-11-03,Brighton Panthers,Hertfordshire Hurricanes,0,43,,,Georgia Teague,,FALSE,day,,14:00,completed,high,FALSE,FALSE,,,,
,2024,Division 1 Southern,2024-10-27,Brighton Panthers,Reading Knights,6,2,,,Georgia Teague,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
,2023,Division 2 Southern,2024-02-11,Sussex Saxons,Brighton Panthers,0,26,Falmer Campus,,,Georgia Teague,FALSE,day,,13:30,completed,high,FALSE,FALSE,,,,
,2023,Division 2 Southern,2024-01-28,Brighton Panthers,Surrey Stingers,28,20,,,Georgia Teague,,FALSE,day,,12:00,completed,high,FALSE,FALSE,,,,
,2023,Division 2 Southern,2023-12-10,Brighton Panthers,Solent Redhawks,32,6,Test Park,,Georgia Teague,,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
,2023,Division 2 Southern,2023-12-03,Oxford Brookes University,Brighton Panthers,0,20,Falmer Campus,,,Georgia Teague,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
,2023,Division 2 Southern,2023-10-29,Chichester Spitfires,Brighton Panthers,6,38,Falmer Campus,,,Georgia Teague,FALSE,day,,13:00,completed,high,FALSE,FALSE,,,,
,2022,Division 2 Southern,2023-02-12,Brighton Panthers,Chichester Spitfires,34,0,,,Ollie Kent,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2022,Division 2 Southern,2023-02-05,Brighton Panthers,Oxford Brookes University,20,6,,,Ollie Kent,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2022,Division 2 Southern,2023-01-22,Surrey Stingers,Brighton Panthers,0,36,Falmer Campus,,,Ollie Kent,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2022,Division 2 Southern,2022-12-04,Brighton Panthers,Reading Knights,0,20,,,Ollie Kent,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2022,Division 2 Southern,2022-11-20,Winchester Silverbacks,Brighton Panthers,8,38,Falmer Campus,,,Ollie Kent,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2022,Division 2 Southern,2022-11-13,Solent Redhawks,Brighton Panthers,19,32,Falmer Campus,,,Ollie Kent,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2021,Division 2 Southern,2022-02-20,Oxford Lancers,Brighton Panthers,20,6,Falmer Campus,,,Ollie Kent,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2021,Division 2 Southern,2022-02-06,UCL Emperors,Brighton Panthers,0,22,Falmer Campus,,,Ollie Kent,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2021,Division 2 Southern,2022-01-23,Brighton Panthers,Kingston Cougars,1,0,,Covid Walkover,Ollie Kent,,FALSE,day,,,awarded,high,FALSE,FALSE,,,,
,2021,Division 2 Southern,2021-12-12,Chichester Spitfires,Brighton Panthers,0,1,Falmer Campus,Covid Walkover,,Ollie Kent,FALSE,day,,,awarded,high,FALSE,FALSE,,,,
,2021,Division 2 Southern,2021-11-21,Winchester Silverbacks,Brighton Panthers,12,26,Falmer Campus,,,Ollie Kent,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2021,Division 2 Southern,2021-11-07,Oxford Brookes University,Brighton Panthers,14,14,Falmer Campus,,,Ollie Kent,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2019,Division 1 Southern,2020-02-15,Reading Knights,Brighton Panthers,14,0,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2019,Division 1 Southern,2020-02-01,Portsmouth Destroyers,Brighton Panthers,15,0,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2019,Division 1 Southern,2020-01-25,Brighton Panthers,Surrey Stingers,6,18,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2019,Division 1 Southern,2019-11-30,Brighton Panthers,Reading Knights,6,39,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2019,Division 1 Southern,2019-11-24,Royal Holloway Bears,Brighton Panthers,42,6,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2019,Division 1 Southern,2019-11-16,Brighton Panthers,Portsmouth Destroyers,0,51,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2019,Division 1 Southern,2019-11-10,Surrey Stingers,Brighton Panthers,13,8,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2019,Division 1 Southern,2019-11-03,Brighton Panthers,Royal Holloway Bears,8,32,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2018,Division 1 Southern,2019-02-23,Brighton Panthers,Reading Knights,14,8,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2018,Division 1 Southern,2019-02-17,Surrey Stingers,Brighton Panthers,19,12,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2018,Division 1 Southern,2018-12-09,Brighton Panthers,Kingston Cougars,12,3,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2018,Division 1 Southern,2019-01-27,Reading Knights,Brighton Panthers,22,16,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2018,Division 1 Southern,2018-11-25,Kingston Cougars,Brighton Panthers,2,12,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2018,Division 1 Southern,2018-11-18,Brunel Burners,Brighton Panthers,6,0,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2018,Division 1 Southern,2018-11-11,Brighton Panthers,Brunel Burners,3,40,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2017,Division 2 Southern,2018-02-25,City Wolfpack,Brighton Panthers,0,36,Falmer Campus,,,Richard Cooling,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2017,Division 2 Southern,2018-02-04,BNU Buccaneers,Brighton Panthers,0,1,Falmer Campus,,,Richard Cooling,FALSE,day,,,awarded,high,FALSE,FALSE,,,,
,2017,Division 2 Southern,2017-12-10,Chichester Spitfires,Brighton Panthers,2,28,Falmer Campus,,,Richard Cooling,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2017,Division 2 Southern,2017-12-03,Brighton Panthers,KCL Regents,14,0,,,Richard Cooling,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2017,Division 2 Southern,2017-11-26,Brighton Panthers,UCL Emperors,26,12,,,Richard Cooling,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2017,Division 2 Southern,2017-11-19,Brighton Panthers,Royal Holloway Bears,34,0,,,Richard Cooling,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2016,Division 1 South Eastern,2017-02-26,Surrey Stingers,Brighton Panthers,26,12,Falmer Campus,,,Richard Cooling,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2016,Division 1 South Eastern,2017-02-19,Brighton Panthers,Reading Knights,6,15,,,Richard Cooling,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2016,Division 1 South Eastern,2017-02-12,Brighton Panthers,Sussex Saxons,6,14,,,Richard Cooling,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2016,Division 1 South Eastern,2017-01-29,Brighton Panthers,Portsmouth Destroyers,0,10,,,Richard Cooling,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2016,Division 1 South Eastern,2016-12-11,Sussex Saxons,Brighton Panthers,20,6,Falmer Campus,,,Richard Cooling,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2016,Division 1 South Eastern,2016-12-04,Brighton Panthers,Surrey Stingers,0,16,,,Richard Cooling,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2016,Division 1 South Eastern,2016-11-13,Reading Knights,Brighton Panthers,7,0,Falmer Campus,,,Richard Cooling,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2016,Division 1 South Eastern,2016-11-06,Portsmouth Destroyers,Brighton Panthers,24,0,Falmer Campus,,,Richard Cooling,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2015,Division 1 South Eastern,2016-02-21,Brighton Panthers,Kent Falcons,0,8,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2015,Division 1 South Eastern,2016-02-07,Brighton Panthers,Sussex Saxons,28,0,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2015,Division 1 South Eastern,2016-01-31,Cambridge Pythons,Brighton Panthers,7,33,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2015,Division 1 South Eastern,2016-01-24,Brighton Panthers,UEA Pirates,14,6,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2015,Division 1 South Eastern,2015-12-06,Kent Falcons,Brighton Panthers,2,9,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2015,Division 1 South Eastern,2015-11-29,UEA Pirates,Brighton Panthers,6,8,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2015,Division 1 South Eastern,2015-11-22,Brighton Panthers,Cambridge Pythons,12,6,,Overtime. 6-6 at the end of regulation.,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2015,Division 1 South Eastern,2015-11-08,Sussex Saxons,Brighton Panthers,20,0,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2014,Premier South,2015-02-15,Brighton Panthers,Hertfordshire Hurricanes,0,78,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2014,Premier South,2015-02-08,Brighton Panthers,Bath Killer Bees,2,57,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2014,Premier South,2015-02-01,Imperial Immortals,Brighton Panthers,2,0,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2014,Premier South,2015-01-25,Birmingham Lions,Brighton Panthers,54,0,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2014,Premier South,2014-11-30,Hertfordshire Hurricanes,Brighton Panthers,58,0,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2014,Premier South,2014-11-16,Brighton Panthers,Birmingham Lions,0,67,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2014,Premier South,2014-11-09,Brighton Panthers,Imperial Immortals,6,12,,,Chris Denny,,FALSE,day,,,completed,high,FALSE,FALSE,,,,
,2014,Premier South,2014-11-02,Bath Killer Bees,Brighton Panthers,27,7,Falmer Campus,,,Chris Denny,FALSE,day,,,completed,high,FALSE,FALSE,,,,
